Algorithm,Avg_Expansions_Reduction,Path_Cost_Percent_Increase,Path_Cost_Percent_STD,Optimal_Paths,Total_Queries
Weighted A* ε=3.0,69.99027959644009,6.185472582750572,6.654790184107764,14,100
Potential Search,-12.40669935707724,7.458317586869125,10.075490386954291,26,100
IMHA*,85.11058395097405,2.3549440364138813e-15,7.301428632836745e-15,100,100
SMHA*,85.35905691281071,2.3549440364138813e-15,7.301428632836745e-15,100,100
2d_128_vanilla_mse.pth A*,45.202217612724674,8.583775109977948,16.105216651296942,20,100
2d_128_vanilla_mse.pth Focal A* ε=3.0,45.30111815952959,8.169700285506456,15.094156664797127,20,100
2d_128_vanilla_custom.pth A*,52.1499809220639,5.035536504930754,5.746152423770469,23,100
2d_128_vanilla_custom.pth Focal A* ε=3.0,52.18669986654982,5.00230840497494,5.691541066687206,23,100
2d_128_vanilla_custom_2.pth A*,50.719675637426455,3.9609552177458305,4.672637035208643,23,100
2d_128_vanilla_custom_2.pth Focal A* ε=3.0,50.719675637426455,3.9609552177458305,4.672637035208645,23,100
