Algorithm,Avg_Expansions_Reduction,Avg_Path_Cost_Increase,Std_Path_Cost_Increase,Optimal_Paths,Total_Queries
Weighted A* ε=1.5,34.62712092116108,1.1597733179044216,1.720927026377495,42,100
Weighted A* ε=3.0,47.37389352436993,5.9038361138532265,6.152870375382038,15,100
Potential Search,-43.255911528629014,3.362436966851769,4.825228327641325,34,100
Multi-Heuristic A*,-116.47647541379776,-1.934611858991271e-16,1.9249144953737985e-15,100,100
mse_vanilla.pth A*,32.4404476578481,1.9959321833923567,3.5405964388835773,33,100
mse_vanilla.pth Focal A* ε=1.5,55.18412042065072,1.9051376327263045,3.0117436439332717,33,100
2d_vanilla_05_8_custom.pth A*,33.0095916066383,2.0817501208074325,3.841928895320067,44,100
2d_vanilla_05_8_custom.pth Focal A* ε=1.5,55.34716916399146,1.8647633597521756,3.0234360934399422,45,100
vanilla_05_8_custom.pth A*,32.30036107285776,1.3597997950546317,2.0331208878217937,43,100
vanilla_05_8_custom.pth Focal A* ε=1.5,55.3866556773297,1.3597997950546314,2.0331208878217932,43,100
model_epoch_20.pth A*,31.256159894227693,1.1909113271944298,1.8846882690658096,48,100
model_epoch_20.pth Focal A* ε=1.5,54.68763931095451,1.1909113271944296,1.884688269065809,48,100
