Algorithm,Avg_Expansions_Reduction,Avg_Path_Cost_Increase,Std_Path_Cost_Increase,Optimal_Paths,Total_Queries
Weighted A* ε=1.5,89.22664985092516,3.362896387682257e-14,2.843716634862893e-14,100,100
Weighted A* ε=3.0,89.22664985092516,4.124398872268088e-14,3.0714833250115036e-14,100,100
Potential Search,89.22664985092516,3.6370074561422303e-14,2.966575222350023e-14,100,100
Multi-Heuristic A*,-517.9754505080724,-1.7556825201126847e-15,4.866561721627191e-15,100,100
mse_vanilla.pth A*,89.09816149388553,0.10018014949575199,0.9967799019570146,99,100
mse_vanilla.pth Focal A* ε=1.5,89.10098491269788,0.10018014949575199,0.9967799019570146,99,100
2d_vanilla_05_8_custom.pth A*,89.22664985092516,3.6763093571135565e-14,3.003646452308919e-14,100,100
2d_vanilla_05_8_custom.pth Focal A* ε=1.5,89.22664985092516,3.6763093571135565e-14,3.003646452308919e-14,100,100
vanilla_05_8_custom.pth A*,89.22664985092516,3.392966849350748e-14,2.887221827644734e-14,100,100
vanilla_05_8_custom.pth Focal A* ε=1.5,89.22664985092516,3.392966849350748e-14,2.887221827644734e-14,100,100
model_epoch_20.pth A*,89.22664985092516,3.551540789398742e-14,2.895328528768981e-14,100,100
model_epoch_20.pth Focal A* ε=1.5,89.22664985092516,3.551540789398742e-14,2.895328528768981e-14,100,100
