Algorithm,Avg_Expansions_Reduction,Path_Cost_Percent_Increase,Path_Cost_Percent_STD,Avg_ReOpenings,Mean_ReOpenings_Percent,Optimal_Paths,Total_Queries
Traditional A*,0,0,0,0,0,0,0
Weighted A* ε=3.0 Allow Reopening=True,-9.79,16.25,12.65,44340.45,76.54,3,20
Weighted A* ε=3.0 Allow Reopening=False,46.12,17.28,12.33,0.0,0.0,3,20
Potential Search Allow Reopening=True,33.63,32.38,17.76,7915.47,69.72,0,17
Potential Search Allow Reopening=False,56.17,32.23,17.26,0.0,0.0,0,18
IMHA* Allow Reopening=True,5.73,-0.11,0.22,1668.25,7.21,16,20
IMHA* Allow Reopening=False,9.42,0.0,0.0,0.0,0.0,20,20
SMHA*,0,0,0,0,0,0,0
3D_MSE.pth A* Allow Reopening=True,34.35,0.73,1.26,2652.85,13.46,7,20
3D_MSE.pth A* Allow Reopening=False,37.79,0.88,0.97,0.0,0.0,7,20
3D_MSE.pth Focal A* ε=3.0 Allow Reopening=True,34.32,0.86,1.5,2664.3,13.51,7,20
3D_MSE.pth Focal A* ε=3.0 Allow Reopening=False,38.5,1.19,1.51,0.0,0.0,7,20
3D_custom.pth A* Allow Reopening=True,0.51,0.32,0.75,5882.05,24.09,12,20
3D_custom.pth A* Allow Reopening=False,-2.21,0.65,0.85,0.0,0.0,11,20
3D_custom.pth Focal A* ε=3.0 Allow Reopening=True,0.95,0.32,0.75,5872.05,24.07,12,20
3D_custom.pth Focal A* ε=3.0 Allow Reopening=False,-2.22,0.65,0.85,0.0,0.0,11,20
