Algorithm,Puzzle_Size,Puzzles_Solved,Total_Puzzles,Success_Rate,Average_Solution_Cost,Solution_Cost_Percent_Difference,Average_Expansions,Expansion_Percent_Difference
Traditional A*,24,100,100,100.00%,38.86,0.0%,12356.44,0.0%
Weighted A* w=1.5,24,0,100,0.00%,0,-100.0%,0,-100.0%
Weighted A* w=2.0,24,0,100,0.00%,0,-100.0%,0,-100.0%
Weighted A* w=3.0,24,100,100,100.00%,52.14,34.17%,3941.79,-68.1%
IDA*,24,0,100,0.00%,0,-100.0%,0,-100.0%
SMA*,24,0,100,0.00%,0,-100.0%,0,-100.0%
Potential Search,24,100,100,100.00%,72.88,87.55%,1110.29,-91.01%
Optimistic Search w=1.5,24,0,100,0.00%,0,-100.0%,0,-100.0%
Optimistic Search w=2.0,24,0,100,0.00%,0,-100.0%,0,-100.0%
Optimistic Search w=3.0,24,100,100,100.00%,38.86,0.0%,13325.63,7.84%
IMHA*,24,100,100,100.00%,42.96,10.55%,2035.47,-83.53%
SMHA*,24,100,100,100.00%,44.56,14.67%,1936.51,-84.33%
5x5_custom A*,24,100,100,100.00%,39.08,0.57%,5613.45,-54.57%
5x5_custom Focal A*,24,100,100,100.00%,39.08,0.57%,5574.19,-54.89%
5x5_mse A*,24,100,100,100.00%,38.92,0.15%,11315.11,-8.43%
5x5_mse Focal A*,24,99,100,99.00%,38.84,-0.06%,10625.51,-14.01%
